,单词,中文释义,音标,学期,单元
444,uncle,叔叔；伯伯；舅舅；姑父；姨父,['ʌŋk(ə)l],四年级上册,Unit4
445,aunt,姑妈；姨妈；伯母；婶婶；舅妈,[ɑːnt],四年级上册,Unit4
446,that,那个,[ðæt],四年级上册,Unit4
447,T-shirt    T,恤衫,"['ti, ʃɜ:t]",四年级上册,Unit5
448,brown,棕色的；棕色,[braʊn],四年级上册,Unit5
449,shorts,短裤,[ʃɔːts],四年级上册,Unit5
450,ride,骑（马；自行车）,[raɪd],四年级上册,Unit5
451,skirt,短裙,[skɜːt],四年级上册,Unit5
452,dress,连衣裙,[dres],四年级上册,Unit5
453,shirt,（男式）衬衫,[ʃɜːt],四年级上册,Unit5
454,tooth,牙齿,[tuːθ],四年级上册,Unit5
455,sharp,锋利的；尖的,[ʃɑːp],四年级上册,Unit5
456,help,帮助,[help],四年级上册,Unit5
457,a pair of,一条；一副；一双,[peə],四年级上册,Unit5
458,get out,出去,[get aʊt],四年级上册,Unit5
459,nurse,护士,[nɜːs],四年级上册,Unit6
460,fireman,消防员,['faɪəmən],四年级上册,Unit6
461,teacher,老师,['tiːtʃə],四年级上册,Unit6
462,doctor,医生,['dɒktə],四年级上册,Unit6
463,bus driver,公共汽车司机,[bʌs 'draɪvə]],四年级上册,Unit6
464,kid,小孩,[kɪd],四年级上册,Unit6
465,so,如此；很；所以,[səʊ],四年级上册,Unit6
466,fire,火；火灾,['faɪə],四年级上册,Unit6
467,people,人；人们,['piːp(ə)l],四年级上册,Unit6
468,job,工作；职业,[dʒɒb],四年级上册,Unit6
469,play with,玩……,[pleɪ    wɪð ],四年级上册,Unit6
470,school,学校,[skuːl],四年级上册,Unit7
471,office,办公室,['ɒfɪs],四年级上册,Unit7
472,busy,忙碌的；繁忙的,['bɪzɪ],四年级上册,Unit7
473,computer,计算机；电脑,[kəm'pjuːtə],四年级上册,Unit7
474,many,许多,['menɪ],四年级上册,Unit7
475,library,图书馆；图书室,[ˈlaɪbrərɪ],四年级上册,Unit7
476,playground,操场,['pleɪgraʊnd],四年级上册,Unit7
477,classroom,教室,['klɑːsruːm],四年级上册,Unit7
478,toilet,厕所,[ˈtɔɪlɪt],四年级上册,Unit7
479,animal,动物,['ænɪm(ə)l],四年级上册,Unit7
480,forest,森林,['fɒrɪst],四年级上册,Unit7
481,pupil,小学生,['pjuː p(ə)l],四年级上册,Unit7
482,try,尝试,[traɪ],四年级上册,Unit7
483,first,第一,[fɜːst],四年级上册,Unit7
484,climb trees,爬树,[klaɪm triːz],四年级上册,Unit7
485,shop,商店,[ʃɒp],四年级上册,Unit8
486,tomato,番茄；西红柿,[tə'mɑːtəʊ],四年级上册,Unit8
487,soup,汤,[suːp],四年级上册,Unit8
488,potato,土豆,[pə'teɪtəʊ],四年级上册,Unit8
489,carrot,胡萝卜,['kærət],四年级上册,Unit8
490,thirty,三十,['θɜːtɪ],四年级上册,Unit8
491,fish,鱼；鱼肉,[fɪʃ],四年级上册,Unit8
492,meat,肉,[miːt],四年级上册,Unit8
493,rice,大米，米饭,[raɪs],四年级上册,Unit8
494,glasses,眼镜,['glɑːsɪz],四年级上册,Unit8
495,want,想要,[wɒnt],四年级上册,Unit8
496,together,一起,[tə'geðə],四年级上册,Unit8
497,magic,神奇的；有魔力的,['mædʒɪk],四年级上册,Unit8
498,need,需要,[niːd],四年级上册,Unit9
499,where,哪里,[weə],四年级上册,Unit9
500,in,在……里面,[ɪn],四年级上册,Unit9
501,box,盒子；箱子,[bɒks],四年级上册,Unit9
502,give,给,[gɪv],四年级上册,Unit9
503,plate,盘子；碟子,[pleɪt],四年级上册,Unit9
504,on,在……上面,[ɒn],四年级上册,Unit9
505,table,桌子,['teɪb(ə)l],四年级上册,Unit9
506,lunch,午餐,[lʌn(t)ʃ],四年级上册,Unit9
507,under,在……下面,['ʌndə],四年级上册,Unit9
508,beside,在……旁边,[bɪ'saɪd],四年级上册,Unit9
509,kitchen,厨房,['kɪtʃɪn; -tʃ(ə)n],四年级上册,Unit9
510,floor,地板,[flɔː],四年级上册,Unit9
511,angry,生气的,['æŋgrɪ],四年级上册,Unit9
512,around,在……周围；到处,[ə'raʊnd],四年级上册,Unit10
513,home,家,[həʊm],四年级上册,Unit10
514,street,街道,[striːt],四年级上册,Unit10
515,park,公园,[pɑːk],四年级上册,Unit10
516,near,在……附近,[nɪə],四年级上册,Unit10
517,behind,在……后面,[bɪ'haɪnd],四年级上册,Unit10
518,supermarket,超市,['suːpəmɑːkɪt],四年级上册,Unit10
519,restaurant,餐馆,[ˈrestrɒnt],四年级上册,Unit10
520,live,住；居住,[lɪv],四年级上册,Unit10
521,old,古老的；旧的,[əʊld],四年级上册,Unit10
522,eat,吃,[iːt],四年级上册,Unit10
523,nice,美味的；美好的,[naɪs],四年级上册,Unit10
524,food,食物,[fuːd],四年级上册,Unit10
525,a lot of,很多；大量的,[lɒt],四年级上册,Unit10
526,shape,形状,[ʃeɪp],四年级上册,Unit11
527,picture,图画；照片,['pɪktʃə],四年级上册,Unit11
528,square,正方形,[skweə],四年级上册,Unit11
529,circle,圆；圆形,['sɜːk(ə)l],四年级上册,Unit11
530,star,五角星形；星星,[stɑː],四年级上册,Unit11
531,rectangle,长方形,['rektæŋg(ə)l],四年级上册,Unit11
532,triangle,三角形,['traɪæŋg(ə)l],四年级上册,Unit11
533,today,今天,[tə'deɪ],四年级上册,Unit11
534,well,好；健康,[wel],四年级上册,Unit11
535,weather,天气,['weðə],四年级上册,Unit12
536,rainy,多雨的,['reɪnɪ],四年级上册,Unit12
537,cloudy,多云的,['klaʊdɪ],四年级上册,Unit12
538,windy,风大的；多风的,['wɪndɪ],四年级上册,Unit12
539,sunny,阳光充足的,['sʌnɪ],四年级上册,Unit12
540,Sunday,星期天,[ˈsʌndeɪ],四年级上册,Unit12
541,cloud,云,[klaʊd],四年级上册,Unit12
542,rain,雨；下雨,[reɪn],四年级上册,Unit12
543,sun,太阳,[sʌn],四年级上册,Unit12
544,wind,风,[wɪnd; (for v.) waɪnd],四年级上册,Unit12
545,touch,碰；触摸,[tʌtʃ],四年级下册,Unit1-2
546,feel,摸起来；感到,[fiːl],四年级下册,Unit1-2
547,soft,柔软的,[sɒft],四年级下册,Unit1-2
548,hard,坚硬的,[hɑːd],四年级下册,Unit1-2
549,thick,厚的；粗的,[θɪk],四年级下册,Unit1-2
550,thin,薄的；细的,[θɪn],四年级下册,Unit1-2
551,blind,瞎的；失明的,[blaɪnd],四年级下册,Unit1-2
552,noise,响声；吵闹声,[nɔɪz],四年级下册,Unit1-2
553,young,年轻的,[jʌŋ],四年级下册,Unit1-2
554,smell,闻；嗅,[smel],四年级下册,Unit1-2
555,strawberry,草莓,['strɔːb(ə)rɪ],四年级下册,Unit1-2
556,or,或者；还是,[ɔː],四年级下册,Unit1-2
557,watermelon,西瓜,['wɔːtəmelən],四年级下册,Unit1-2
558,grape,葡萄,[greɪp],四年级下册,Unit1-2
559,fox,狐狸,[fɒks],四年级下册,Unit1-2
560,round,圆的,[raʊnd],四年级下册,Unit1-2
561,purple,紫色的,['pɜːp(ə)l],四年级下册,Unit1-2
562,wait,等待；等候,[weɪt],四年级下册,Unit1-2
563,minute,一会儿；分钟,['mɪnɪt],四年级下册,Unit1-2
564,get,得到,[get],四年级下册,Unit1-2
565,those,那些,[ðəʊz],四年级下册,Unit1-2
566,rise,升起,[raɪz],四年级下册,Unit3
567,shadow,影子,['ʃædəʊ],四年级下册,Unit3
568,noon,中午,[nuːn],四年级下册,Unit3
569,high,高的,[haɪ],四年级下册,Unit3
570,sky,天空,[skaɪ],四年级下册,Unit3
571,evening,傍晚；晚上,['iːv(ə)nɪŋ],四年级下册,Unit3
572,again,再；又,[ə'geɪn],四年级下册,Unit3
573,night,夜晚,[naɪt],四年级下册,Unit3
574,moon,月亮,[muːn],四年级下册,Unit3
575,him,他,[hɪm],四年级下册,Unit3
576,stop,停下,[stɒp],四年级下册,Unit3
577,at noon,在中午,,四年级下册,Unit3
578,go down,落下,[gəʊ daʊn],四年级下册,Unit3
579,at night,在夜晚,,四年级下册,Unit3
580,take a walk,散步,[teɪk ə wɔːk],四年级下册,Unit3
581,subject,学科；科目,[ˈsʌbdʒɪkt],四年级下册,Unit4
582,lesson,课,['les(ə)n],四年级下册,Unit4
583,Chinese,语文,[tʃaɪniːz],四年级下册,Unit4
584,Maths,数学,[mæθs],四年级下册,Unit4
585,English,英语,['ɪŋɡlɪʃ],四年级下册,Unit4
586,Science,科学,['saɪəns],四年级下册,Unit4
587,PE,体育,[ˌpiˈi:],四年级下册,Unit4
588,Music,音乐,['mjuːzɪk],四年级下册,Unit4
589,Art,美术,[ɑːt],四年级下册,Unit4
590,timetable,课程表；时间表,['taɪmteɪb(ə)l],四年级下册,Unit4
591,from,从；来自,[frɒm; frəm],四年级下册,Unit4
592,a.m,上午,,四年级下册,Unit4
593,p.m,下午,,四年级下册,Unit4
594,break,休息,[breɪk],四年级下册,Unit4
595,from…to…,从…到…,,四年级下册,Unit4
596,sport,体育运动,[spɔːt],四年级下册,Unit5
597,football,足球,['fʊtbɔːl],四年级下册,Unit5
598,club,俱乐部；兴趣小组,[klʌb],四年级下册,Unit5
599,join,参加；加入,[dʒɒɪn],四年级下册,Unit5
600,tell,告诉,[tel],四年级下册,Unit5
601,about,关于,[ə'baʊt],四年级下册,Unit5
602,basketball,篮球,['bɑːskɪtbɔːl],四年级下册,Unit5
603,volleyball,排球,['vɒlɪbɔːl],四年级下册,Unit5
604,us,我们,[əs; ʌs],四年级下册,Unit5
605,table tennis,乒乓球运动,,四年级下册,Unit5
606,play,玩,[pleɪ],四年级下册,Unit5
607,play football,踢足球,,四年级下册,Unit5
608,play basketball,打篮球,,四年级下册,Unit5
609,play volleyball,打排球,,四年级下册,Unit5
610,wonderful,使人愉悦的；绝妙的,[ˈwʌndə(r)fl],四年级下册,Unit6
611,violin,小提琴,[ˌvaɪəˈlɪn],四年级下册,Unit6
612,guitar,吉他,[gɪ'tɑː],四年级下册,Unit6
613,whose,谁的,[huːz],四年级下册,Unit6
614,piano,钢琴,[pɪ'ænəʊ],四年级下册,Unit6
615,city,城市,['sɪtɪ],四年级下册,Unit6
616,bag,袋子,[bæg],四年级下册,Unit6
617,gold,金子,[gəʊld],四年级下册,Unit6
618,all,全部；所有,[ɔːl],四年级下册,Unit6
619,play the violin,拉小提琴,,四年级下册,Unit6
620,play the guitar,弹吉他,,四年级下册,Unit6
621,O`clock,…点钟,,四年级下册,Unit7
622,quarter,一刻钟,['kwɔːtə],四年级下册,Unit7
623,time,时间,[taɪm],四年级下册,Unit7
624,half,半；一半,[hɑːf],四年级下册,Unit7
625,wash,洗,[wɒʃ],四年级下册,Unit7
626,dinner,晚餐；正餐,['dɪnə],四年级下册,Unit7
627,start,开始,[stɑːt],四年级下册,Unit7
628,catch,捉住,[kætʃ],四年级下册,Unit7
629,get up,起床,[get ʌp],四年级下册,Unit7
630,brush,刷,[brʌʃ],四年级下册,Unit7
631,brush…teeth,刷牙,[brʌʃ    tiːθ],四年级下册,Unit7
632,half past…,…点半,,四年级下册,Unit7
633,have breakfast,吃早餐,['brekfəst],四年级下册,Unit7
634,go to school,去上学,,四年级下册,Unit7
635,wash…face,洗脸,,四年级下册,Unit7
636,have lunch,吃午餐,,四年级下册,Unit7
637,have dinner,吃晚餐,,四年级下册,Unit7
638,go to bed,上床睡觉,,四年级下册,Unit7
639,week,星期,[wiːk],四年级下册,Unit8
640,Monday,星期一,[ˈmʌndeɪ],四年级下册,Unit8
641,with,和…一起,[wɪð],四年级下册,Unit8
642,Tuesday,星期二,['tjuːzdeɪ],四年级下册,Unit8
643,Wednesday,星期三,[ˈwenzdeɪ],四年级下册,Unit8
644,Thursday,星期四,['θɜːzdeɪ],四年级下册,Unit8
645,Friday,星期五,[ˈfraɪdeɪ],四年级下册,Unit8
646,game,游戏,[geɪm],四年级下册,Unit8
647,Saturday,星期六,[ˈsætədeɪ],四年级下册,Unit8
648,Sunday,星期天,[ˈsʌndeɪ],四年级下册,Unit8
649,clock,时钟；钟,[klɒk],四年级下册,Unit8
650,play chess,下国际象棋,[tʃes],四年级下册,Unit8
651,at the weekend,在周末,[wiːkˈend],四年级下册,Unit8
652,(be) late for,迟到,,四年级下册,Unit8
653,China,中国,[ˈtʃaɪnə],四年级下册,Unit9
654,talk,谈话；说话,[tɔːk],四年级下册,Unit9
655,May,五月,[meɪ],四年级下册,Unit9
656,June,六月,[dʒu:n],四年级下册,Unit9
657,January,一月,['dʒænjʊ(ə)rɪ],四年级下册,Unit9
658,February,二月,[ˈfebrʊərɪ],四年级下册,Unit9
659,March,三月,[mɑːtʃ],四年级下册,Unit9
660,April,四月,['eɪprəl],四年级下册,Unit9
661,July,七月,[dʒʊˈlaɪ],四年级下册,Unit9
662,August,八月,[ɔ:ˈgʌst],四年级下册,Unit9
663,September,九月,[sep'tembə],四年级下册,Unit9
664,October,十月,[ɒk'təʊbə],四年级下册,Unit9
665,November,十一月,[nə(ʊ)'vembə],四年级下册,Unit9
666,December,十二月,[dɪ'sembə],四年级下册,Unit9
667,email,电子邮件,['iːmeɪl],四年级下册,Unit9
668,hat,帽子,[hæt],四年级下册,Unit9
669,wear,穿；戴,[weə],四年级下册,Unit9
670,yours,你的；你们的,[jɔːz; jʊəz],四年级下册,Unit9
671,very year,每年,['verɪ jɪə],四年级下册,Unit9
672,garden,花园,['gɑːd(ə)n],四年级下册,Unit10
673,plant,植物,[plɑːnt],四年级下册,Unit10
674,leaf,叶子（复数 leaves）,[liːf],四年级下册,Unit10
675,water,给…浇水,['wɔːtə],四年级下册,Unit10
676,them,它们；他们；她们,[ðem; ðəm],四年级下册,Unit10
677,grow,（使）生长；成长,[grəʊ],四年级下册,Unit10
678,seed,种子,[siːd],四年级下册,Unit10
679,very day,每天,,四年级下册,Unit10
680,song,歌曲,[sɒŋ],四年级下册,Unit11
681,zoo,动物园,[zuː],四年级下册,Unit11
682,cinema,电影院,[ˈsɪnəmə],四年级下册,Unit11
683,museum,博物馆,[mjuː'zɪəm],四年级下册,Unit11
684,also,也；还,['ɔːlsəʊ],四年级下册,Unit11
685,have a party,举办聚会,['pɑːtɪ],四年级下册,Unit11
686,ugly,丑的；丑陋的,['ʌglɪ],四年级下册,Unit12
687,duckling,小鸭,['dʌklɪŋ],四年级下册,Unit12
688,duck,鸭子,[dʌk],四年级下册,Unit12
689,river,河；江,['rɪvə],四年级下册,Unit12
690,baby,宝宝；婴儿,['beɪbɪ],四年级下册,Unit12
691,later,后来；以后,['leɪtə],四年级下册,Unit12
692,quack,嘎嘎,[kwæk],四年级下册,Unit12
693,back,背；背部,[bæk],四年级下册,Unit12
694,away,去别处；朝另一个方向,[ə'weɪ],四年级下册,Unit12
695,swan,天鹅,[swɒn],四年级下册,Unit12
696,into,朝；向；到…里面,['ɪntə],四年级下册,Unit12
697,future,将来；未来,['fjuːtʃə],五年级上册,Unit1
698,want,想要,[wɒnt],五年级上册,Unit1
699,pilot,飞行员,['paɪlət],五年级上册,Unit1
700,teach,教（课）,[tiːtʃ],五年级上册,Unit1
701,cook,厨师；烹饪,[kʊk],五年级上册,Unit1
702,taxi driver,出租车司机,['tæksɪ 'draɪvə],五年级上册,Unit1
703,job,工作；职业,[dʒɒb],五年级上册,Unit1
704,singer,歌手,['sɪŋə(r)],五年级上册,Unit1
705,fall,掉落；落下,[fɔːl],五年级上册,Unit1
706,lifeguard,救生员,['laɪfgɑːd],五年级上册,Unit1
707,save,救；救助；节约,[seɪv],五年级上册,Unit1
708,become,变成；变得,[bɪ'kʌm],五年级上册,Unit1
709,(be) good at,擅长,,五年级上册,Unit1
710,by,（表示方式）；靠近,[baɪ],五年级上册,Unit2
711,walk,走；步行,[wɔːk],五年级上册,Unit2
712,Ms,女士,[mɪz],五年级上册,Unit2
713,journey,旅程；旅行,['dʒɜːnɪ],五年级上册,Unit2
714,primary school,小学,['praɪm(ə)rɪ skuːl],五年级上册,Unit2
715,underground,地铁,[ʌndə'graʊnd],五年级上册,Unit2
716,station,车站,['steɪʃ(ə)n],五年级上册,Unit2
717,take,乘坐（交通工具）；带领,[teɪk],五年级上册,Unit2
718,after,在…后,['ɑːftə],五年级上册,Unit2
719,hour,小时,['aʊə],五年级上册,Unit2
720,bus stop,公共汽车站,[stɒp],五年级上册,Unit2
721,by bus,乘公共汽车,,五年级上册,Unit2
722,far from,离…远,,五年级上册,Unit2
723,on foot,步行,,五年级上册,Unit2
724,by bike,骑自行车,,五年级上册,Unit2
725,by car,乘小汽车,,五年级上册,Unit2
726,get off,下车,,五年级上册,Unit2
727,party,聚会,['pɑːtɪ],五年级上册,Unit3
728,when,什么时候,[wen],五年级上册,Unit3
729,begin,开始,[bɪ'gɪn],五年级上册,Unit3
730,bring,带来,[brɪŋ],五年级上册,Unit3
731,thing,东西，事物,[θɪŋ],五年级上册,Unit3
732,favourite,最喜欢的,['feɪv(ə)rɪt],五年级上册,Unit3
733,interesting,有趣的,[ˈɪntrəstɪŋ],五年级上册,Unit3
734,hat,帽子,[hæt],五年级上册,Unit3
735,have fun,尽情玩,[hæv    fʌn],五年级上册,Unit3
736,usually,通常,[ˈjuːʒʊəlɪ],五年级上册,Unit4
737,often,经常,['ɒf(tə)n],五年级上册,Unit4
738,visit,看望；拜访；参观,['vɪzɪt],五年级上册,Unit4
739,sometimes,有时,['sʌmtaɪmz],五年级上册,Unit4
740,always,总是；一直,[ˈɔ:lweɪz],五年级上册,Unit4
741,never,从不,['nevə],五年级上册,Unit4
742,play sport,做运动,,五年级上册,Unit4
743,go shopping,去购物,,五年级上册,Unit4
744,clever,聪明的,['klevə],五年级上册,Unit5
745,same,相同的,[seɪm],五年级上册,Unit5
746,class,班；班级,[klɑːs],五年级上册,Unit5
747,both,（两个）都,[bəʊθ],五年级上册,Unit5
748,cross,穿越；越过,[krɒs],五年级上册,Unit5
749,carry,背；提；拿,['kærɪ],五年级上册,Unit5
750,heavy,重的；沉的,['hevɪ],五年级上册,Unit5
751,different,不同的,[ˈdɪfrənt],五年级上册,Unit5
752,bored,无聊的,[bɔːd],五年级上册,Unit5
753,word,单词,[wɜːd],五年级上册,Unit5
754,easy,容易的,['iːzɪ],五年级上册,Unit5
755,say,说,[seɪ],五年级上册,Unit5
756,then,然后；那么,[ðen],五年级上册,Unit5
757,ask,问,[ɑːsk],五年级上册,Unit5
758,answer,回答,['ɑːnsə],五年级上册,Unit5
759,soon,很快；不久,[suːn],五年级上册,Unit5
760,each other,互相,[iːtʃ 'ʌðə],五年级上册,Unit5
761,make phone calls,打电话,,五年级上册,Unit5
762,life,生活,[laɪf],五年级上册,Unit6
763,living room,客厅,['lɪvɪŋ    ruːm],五年级上册,Unit6
764,bedroom,卧室,['bedruːm],五年级上册,Unit6
765,model plane,飞机模型,['mɒdl pleɪn],五年级上册,Unit6
766,kitchen,厨房,['kɪtʃɪn],五年级上册,Unit6
767,bathroom,浴室；卫生间,['bɑːθruːm],五年级上册,Unit6
768,their,他们的；她们的；它们的,[ðeə],五年级上册,Unit6
769,light,灯；光,[laɪt],五年级上册,Unit6
770,watch,观看；观察,[wɒtʃ],五年级上册,Unit6
771,TV,电视；电视机,[ˌti: ˈvi:],五年级上册,Unit6
772,before,在…以前,[bɪ'fɔː],五年级上册,Unit6
773,bedtime,就寝时间,['bedtaɪm],五年级上册,Unit6
774,do…homework,做家庭作业[duː],['həʊmwɜːk],五年级上册,Unit6
775,turn off,关掉,[tɜːn ɒf],五年级上册,Unit6
776,watch TV,看电视,[wɒtʃ],五年级上册,Unit6
777,tell a story,讲故事,['stɔːrɪ],五年级上册,Unit6
778,beach,海滩,[biːtʃ],五年级上册,Unit7
779,enjoy,享受…的乐趣,[ɪnˈdʒɔɪ],五年级上册,Unit7
780,sunshine,阳光,['sʌnʃaɪn],五年级上册,Unit7
781,collect,收集,[kə'lekt],五年级上册,Unit7
782,sea,海,[siː],五年级上册,Unit7
783,letter,信,['letə],五年级上册,Unit7
784,put,放；安置,[pʊt],五年级上册,Unit7
785,know,知道,[nəʊ],五年级上册,Unit7
786,year,年岁，年,[jɪə],五年级上册,Unit7
787,on holiday,度假,['hɒlɪdeɪ],五年级上册,Unit7
788,have a good time,玩得高兴,,五年级上册,Unit7
789,outing,远足,['aʊtɪŋ],五年级上册,Unit8
790,map,地图,[mæp],五年级上册,Unit8
791,hill,小山,[hɪl],五年级上册,Unit8
792,find,发现；找到,[faɪnd],五年级上册,Unit8
793,diamond,钻石,['daɪəmənd],五年级上册,Unit8
794,another,另一个,[ə'nʌðə],五年级上册,Unit8
795,lake,湖,[leɪk],五年级上册,Unit8
796,funny,滑稽的；好笑的,['fʌnɪ],五年级上册,Unit8
797,hole,洞,[həʊl],五年级上册,Unit8
798,key,钥匙,[kiː],五年级上册,Unit8
799,think,想,[θɪŋk],五年级上册,Unit8
800,at the top of,在…顶部,,五年级上册,Unit8
801,get through,通过,[get θruː],五年级上册,Unit8
802,post office,邮局,[pəʊst 'ɒfɪs],五年级上册,Unit9
803,quite,相当，十分,[kwaɪt],五年级上册,Unit9
804,along,沿着；顺着,[ə'lɒŋ],五年级上册,Unit9
805,turn,转向；转弯,[tɜːn],五年级上册,Unit9
806,left,左边,[left],五年级上册,Unit9
807,straight,笔直地,[streɪt],五年级上册,Unit9
808,right,右边；正确的,[raɪt],五年级上册,Unit9
809,between,在…中间,[bɪ'twiːn],五年级上册,Unit9
810,flower shop,花店,['flaʊə],五年级上册,Unit9
811,hospital,医院,['hɒspɪt(ə)l],五年级上册,Unit9
812,toy shop,玩具店,[tɒɪ],五年级上册,Unit9
813,road,路；马路,[rəʊd],五年级上册,Unit9
814,get to,到达,,五年级上册,Unit9
815,blow,刮；吹,[bləʊ],五年级上册,Unit10
816,gently,和缓地；温柔地,['dʒentlɪ],五年级上册,Unit10
817,softly,轻柔地,['sɒftlɪ],五年级上册,Unit10
818,strongly,强劲地,['strɒŋlɪ],五年级上册,Unit10
819,happily,快乐地,['hæpɪlɪ],五年级上册,Unit10
820,windmill,风车,['wɪn(d)mɪl],五年级上册,Unit10
821,move,（使）改变位置；移动,[muːv],五年级上册,Unit10
822,slowly,缓慢地,['sləʊlɪ],五年级上册,Unit10
823,quickly,快地；迅速地,['kwɪklɪ],五年级上册,Unit10
824,sound,声音；听起来好像,[saʊnd],五年级上册,Unit10
825,wind-bell,风铃,[wɪnd bel],五年级上册,Unit10
826,cut,剪；砍；切,[kʌt],五年级上册,Unit10
827,paper,纸；纸张,['peɪpə],五年级上册,Unit10
828,quiet,轻声的；安静的,['kwaɪət],五年级上册,Unit10
829,tap,水龙头,[tæp],五年级上册,Unit11
830,use,使用,[juːz],五年级上册,Unit11
831,vegetable,蔬菜,[ˈvedʒtəbl],五年级上册,Unit11
832,clothes,衣服；服装,[kləʊ(ð)z],五年级上册,Unit11
833,farmer,农民,['fɑːmə],五年级上册,Unit11
834,useful,有用的,['juːsf(ə)l],五年级上册,Unit11
835,drop,滴；水珠,[drɒp],五年级上册,Unit11
836,up,向上；在上面,[ʌp],五年级上册,Unit11
837,shine,照耀,[ʃaɪn],五年级上册,Unit11
838,over,在…上方,['əʊvə],五年级上册,Unit11
839,mountain,山；山脉,[ˈmaʊntən],五年级上册,Unit11
840,tree,树,[triː],五年级上册,Unit11
841,ground,地面,[graʊnd],五年级上册,Unit11
842,inside,在…里面,[ɪn'saɪd],五年级上册,Unit11
843,grow crops,种庄稼,[grəʊ krɒps],五年级上册,Unit11
844,put out fires,灭火,['faɪəz],五年级上册,Unit11
845,fire,火；火灾,['faɪə],五年级上册,Unit12
846,burn,燃烧；烧,[bɜːn],五年级上册,Unit12
847,hurt,（使）受伤,[hɜːt],五年级上册,Unit12
848,must,必须,[mʌst],五年级上册,Unit12
849,careful,小心的,[ˈkeəfl],五年级上册,Unit12
850,safety,安全,['seɪftɪ],五年级上册,Unit12
851,smoke,吸烟,[sməʊk],五年级上册,Unit12
852,match,火柴,[mætʃ],五年级上册,Unit12
853,heat,热；高温,[hiːt],五年级上册,Unit12
854,hate,讨厌,[heɪt],五年级上册,Unit12
855,burn down,烧毁,[bɜːn    daʊn],五年级上册,Unit12
856,(be) careful with,当心…,,五年级上册,Unit12
857,not  …at all,一点也不…,,五年级上册,Unit12
858,tidy,整理；整洁的,['taɪdɪ],五年级下册,Unit1
859,mess,脏乱；不整洁,[mes],五年级下册,Unit1
860,let,让,[let],五年级下册,Unit1
861,sock,短袜,[sɒk],五年级下册,Unit1
862,yours,你的；你们的,[jɔːz],五年级下册,Unit1
863,cap,帽子,[kæp],五年级下册,Unit1
864,mine,我的,[maɪn],五年级下册,Unit1
865,crayon,彩色蜡笔,[ˈkreɪən],五年级下册,Unit1
866,umbrella,伞,[ʌm'brelə],五年级下册,Unit1
867,nail,钉子,[neɪl],五年级下册,Unit1
868,drop,使落下；掉落,[drɒp],五年级下册,Unit1
869,stick,粘贴；粘住,[stɪk],五年级下册,Unit1
870,second,秒,['sek(ə)nd],五年级下册,Unit1
871,hers,她的,[hɜːz],五年级下册,Unit1
872,theirs,他们的；她们的；它们的,[ðeəz],五年级下册,Unit1
